1.899105e+02 2 1.586746e+15 2.213604e+15
2.866887e+02 7 3.441657e+15 7.286592e+15
4.310423e+02 13 7.408546e+15 8.265225e+15
6.169498e+02 24 1.453802e+16 1.942648e+16
8.469945e+02 38 2.637856e+16 2.276086e+16
1.167701e+03 81 4.824128e+16 6.984188e+16
1.622822e+03 149 8.956631e+16 1.247567e+17
2.258159e+03 294 1.666841e+17 2.230199e+17
3.131391e+03 545 3.081922e+17 4.152701e+17
4.351596e+03 1079 5.721301e+17 7.428216e+17
6.053951e+03 2058 1.064311e+18 1.387439e+18
8.418977e+03 3993 1.978441e+18 2.648967e+18
1.170156e+04 7660 3.673955e+18 4.841469e+18
1.625880e+04 14799 6.818394e+18 8.999097e+18
2.259704e+04 28571 1.266055e+19 1.656558e+19
3.140704e+04 55163 2.350966e+19 3.042458e+19
4.365423e+04 106557 4.366014e+19 5.636837e+19
6.058095e+04 203555 8.084022e+19 1.047588e+20
7.839740e+04 100719 1.312571e+20 1.707666e+20
