1.899105e+02 2 1.586746e+15 1.719035e+15
2.866887e+02 7 3.441657e+15 5.658605e+15
4.310423e+02 13 7.408546e+15 6.418590e+15
6.169498e+02 24 1.453802e+16 1.508617e+16
8.469945e+02 38 2.637856e+16 1.767558e+16
1.167701e+03 81 4.824128e+16 5.423765e+16
1.622822e+03 149 8.956631e+16 9.688325e+16
2.258159e+03 294 1.666841e+17 1.731923e+17
3.131391e+03 545 3.081922e+17 3.224896e+17
4.351596e+03 1079 5.721301e+17 5.768587e+17
6.053951e+03 2058 1.064311e+18 1.077454e+18
8.418977e+03 3993 1.978441e+18 2.057129e+18
1.170156e+04 7660 3.673955e+18 3.759777e+18
1.625880e+04 14799 6.818394e+18 6.988499e+18
2.259704e+04 28571 1.266055e+19 1.286446e+19
3.140704e+04 55163 2.350966e+19 2.362706e+19
4.365423e+04 106557 4.366014e+19 4.377442e+19
6.058095e+04 203555 8.084022e+19 8.135336e+19
7.839740e+04 100719 1.312571e+20 1.326136e+20
